HOF_status,PA,HR,R,RBI,AVG,OBP,SLG,wRC+,Off,WAR
1,5938,141,972,761,0.313,0.41,0.477,137,301.8,59.9
1,12358,465,1669,1833,0.283,0.353,0.475,128,406.5,59.9
1,10768,438,1373,1591,0.279,0.323,0.482,117,230.5,59.5
1,10861,379,1272,1652,0.279,0.341,0.463,121,263.0,58.9
1,10734,117,1420,780,0.311,0.355,0.402,104,156.7,57.6
1,9736,29,1322,586,0.308,0.396,0.382,115,193.0,57.4
1,7111,154,1120,1078,0.341,0.393,0.506,136,351.6,57.2
1,10174,493,1349,1550,0.284,0.377,0.509,134,409.1,56.9
1,7060,202,930,1209,0.313,0.382,0.486,126,245.1,56.1
1,6414,48,950,756,0.313,0.389,0.445,145,365.4,56.0
1,9594,33,1719,810,0.341,0.388,0.415,124,345.0,55.7
1,7145,31,774,782,0.262,0.308,0.353,96,-6.4,55.5
1,8641,47,1163,839,0.304,0.367,0.407,115,163.3,55.1
1,9453,369,1401,1406,0.316,0.414,0.539,132,354.3,54.9
1,8142,205,1198,1383,0.324,0.362,0.505,132,331.9,54.5
1,9059,449,1328,1496,0.318,0.379,0.553,136,370.2,54.5
1,9685,248,1074,1389,0.285,0.348,0.437,116,164.6,54.2
1,8229,195,1227,1089,0.299,0.387,0.461,133,321.4,54.1
1,7297,236,867,1179,0.297,0.37,0.489,126,250.3,53.7
1,7960,143,1018,923,0.306,0.388,0.439,123,217.8,53.5
1,8028,223,1094,1247,0.288,0.362,0.461,115,121.3,53.0
1,8098,128,1305,1065,0.321,0.386,0.474,125,327.8,52.9
1,7452,65,1055,983,0.294,0.343,0.409,111,95.1,52.5
1,10244,75,1429,817,0.281,0.368,0.387,116,181.6,52.4
1,9013,102,1284,1175,0.34,0.379,0.468,122,251.7,52.1
1,9051,62,1729,1203,0.311,0.352,0.423,127,364.1,52.1
1,9084,169,1247,1304,0.3,0.382,0.453,125,284.8,51.4
1,10091,541,1419,1768,0.286,0.38,0.552,140,409.0,51.0
1,9058,382,1249,1451,0.298,0.352,0.502,128,297.5,50.8
1,10246,34,1514,1078,0.322,0.374,0.427,113,168.9,50.7
1,6206,119,1041,832,0.32,0.419,0.478,131,255.4,50.6
1,8695,379,1131,1365,0.297,0.35,0.499,131,316.9,50.3
1,7303,178,986,1191,0.292,0.38,0.467,121,203.7,50.1
1,8156,68,1099,981,0.323,0.369,0.446,127,260.9,49.7
1,8244,32,1048,591,0.279,0.355,0.358,100,-4.0,49.3
1,11230,83,1335,791,0.262,0.311,0.343,83,-162.0,49.1
1,7210,12,919,538,0.27,0.356,0.334,109,86.8,49.0
1,7827,106,1552,1302,0.324,0.384,0.449,118,273.8,48.3
1,5099,20,797,596,0.296,0.394,0.394,137,253.3,48.1
1,5770,71,1129,883,0.303,0.351,0.456,123,228.4,48.1
1,8329,49,1141,1055,0.312,0.391,0.413,111,103.8,48.1
1,6256,369,971,1015,0.279,0.398,0.548,146,369.1,47.4
1,6679,135,833,929,0.291,0.337,0.433,101,19.0,46.2
1,5643,259,771,1015,0.283,0.364,0.498,126,183.5,45.7
1,10349,35,1279,790,0.288,0.348,0.363,96,-64.1,45.2
1,6455,69,1357,950,0.308,0.368,0.438,131,327.9,45.1
1,7831,207,1071,1085,0.318,0.36,0.477,122,204.9,44.9
1,6502,127,1256,1299,0.331,0.384,0.505,136,354.1,44.1
1,8416,110,1287,1183,0.33,0.377,0.479,119,212.1,43.3
1,11238,149,1610,900,0.293,0.343,0.41,109,187.6,43.2
1,11256,28,1255,884,0.258,0.318,0.34,83,-248.0,43.1
1,7168,300,1168,1201,0.32,0.379,0.543,132,322.0,42.8
1,8104,370,1105,1274,0.273,0.359,0.487,121,214.3,42.1
1,5556,244,884,1063,0.307,0.395,0.545,141,325.6,42.0
1,6349,190,601,990,0.306,0.358,0.46,125,192.2,41.8
1,6711,38,877,563,0.273,0.351,0.355,96,-26.0,41.4
1,10184,339,1272,1493,0.29,0.339,0.471,120,218.1,41.1
1,6879,220,870,947,0.304,0.353,0.476,129,220.4,40.7
1,8084,26,1408,867,0.275,0.314,0.341,97,2.8,39.8
1,5374,26,682,530,0.279,0.386,0.377,128,169.2,39.6
1,11092,384,1299,1628,0.289,0.356,0.465,119,243.5,38.5
1,7528,78,881,870,0.306,0.367,0.414,111,100.1,38.2
1,8293,58,1183,1273,0.32,0.362,0.435,107,90.9,37.9
1,8355,219,1177,1422,0.31,0.369,0.5,123,260.9,37.7
1,9222,84,1223,773,0.289,0.337,0.387,94,-62.4,37.6
1,5333,42,812,592,0.322,0.399,0.441,134,209.5,36.1
1,5113,164,777,833,0.317,0.372,0.526,131,222.6,32.8
1,8379,138,769,853,0.26,0.299,0.367,82,-176.6,30.9
1,6104,103,895,779,0.311,0.351,0.449,109,84.9,30.8
1,6565,148,819,1020,0.297,0.342,0.452,109,72.5,29.2
1,7072,28,687,734,0.281,0.378,0.363,98,-31.0,27.5
1,8326,27,1201,598,0.316,0.353,0.393,99,1.8,25.4
1,5739,44,1069,735,0.292,0.364,0.376,105,75.6,23.3
1,6217,11,579,594,0.253,0.34,0.316,88,-100.6,22.6
1,6916,286,792,962,0.266,0.32,0.454,104,32.4,16.6
1,7658,106,1523,1296,0.342,0.423,0.519,156,638.2,79.5
1,12817,504,1627,1917,0.287,0.359,0.476,127,410.4,72.0
1,11031,435,1582,1587,0.279,0.35,0.486,118,313.4,67.4
1,8664,434,1204,1289,0.254,0.337,0.486,111,116.3,67.0
1,9605,75,1720,952,0.338,0.415,0.446,137,512.2,66.6
1,10359,170,1571,980,0.294,0.385,0.425,125,408.2,66.4
1,6660,96,887,987,0.307,0.363,0.442,134,250.7,60.1
0,12606,762,2227,1996,0.298,0.444,0.607,173,1173.8,164.4
0,12207,696,2021,2086,0.295,0.38,0.55,141,664.2,113.6
0,13041,703,1914,2218,0.296,0.374,0.544,141,633.8,89.9
0,15876,160,2165,1314,0.303,0.375,0.409,121,354.7,80.2
0,10390,84,1589,1233,0.272,0.358,0.382,108,167.5,77.5
0,12046,569,1663,1835,0.288,0.371,0.515,130,442.8,70.0
0,8220,224,1033,864,0.266,0.371,0.424,129,254.9,69.2
0,11796,511,1551,1881,0.306,0.382,0.518,139,469.0,68.7
0,9967,244,1386,1084,0.276,0.363,0.426,118,204.8,68.1
0,9774,555,1544,1831,0.312,0.411,0.585,153,624.8,66.4
0,7660,583,1167,1414,0.263,0.394,0.588,157,555.0,66.3
0,10227,390,1193,1314,0.248,0.329,0.421,111,119.6,65.7
0,10569,385,1470,1384,0.272,0.37,0.47,129,348.4,65.1
0,8050,314,1123,1092,0.287,0.366,0.489,137,331.7,64.6
0,7980,393,1251,1199,0.284,0.376,0.527,132,317.7,64.5
0,8546,83,1112,1176,0.291,0.364,0.427,134,352.5,63.4
0,9235,130,1528,781,0.299,0.372,0.423,109,181.3,62.4
0,8802,252,996,1185,0.297,0.365,0.452,129,284.1,62.3
0,10947,509,1636,1676,0.292,0.393,0.514,141,575.7,62.1
0,9461,54,1239,687,0.276,0.373,0.351,109,123.2,62.0
0,10009,201,1151,1106,0.279,0.341,0.406,108,73.4,61.7
0,7863,259,1103,1025,0.275,0.358,0.465,118,252.1,61.5
0,10737,414,1344,1354,0.248,0.361,0.431,120,244.6,61.2
0,5690,54,873,785,0.356,0.423,0.517,165,417.5,60.4
0,7535,27,1163,825,0.29,0.337,0.374,110,127.5,60.1
0,9896,609,1475,1667,0.273,0.344,0.534,124,300.4,60.1
0,10081,288,1453,1363,0.291,0.395,0.475,129,416.6,59.7
0,8553,162,1124,1071,0.296,0.384,0.436,131,294.3,59.4
0,8746,356,1171,1144,0.294,0.409,0.511,145,440.6,58.7
0,5607,158,663,729,0.302,0.372,0.46,129,163.1,57.9
0,9550,335,1262,1306,0.301,0.351,0.488,124,236.8,57.5
0,9063,255,1139,1230,0.295,0.398,0.465,130,322.1,57.3
0,8090,332,1258,1024,0.268,0.353,0.471,130,303.9,57.1
0,8047,288,1239,1283,0.296,0.393,0.506,132,336.8,56.9
0,8271,294,1006,1182,0.267,0.362,0.444,113,124.9,56.7
0,9118,56,1296,813,0.274,0.375,0.378,121,266.2,56.7
0,4435,140,932,873,0.33,0.407,0.535,151,323.1,56.2
0,8288,242,982,1039,0.254,0.352,0.408,121,194.4,56.2
0,9537,377,1320,1518,0.29,0.356,0.5,123,259.7,56.0
0,7814,366,1146,1234,0.293,0.406,0.537,144,421.7,55.9
0,8506,57,1239,642,0.301,0.394,0.397,124,269.3,55.9
0,8344,316,977,1139,0.261,0.354,0.445,123,208.4,55.6
0,8554,176,777,1022,0.277,0.327,0.399,97,-109.9,55.6
0,8206,342,1017,1159,0.264,0.333,0.471,117,165.5,55.2
0,10531,354,1412,1439,0.283,0.367,0.479,118,229.0,55.2
0,6832,122,1492,908,0.289,0.361,0.461,132,379.1,54.9
0,8120,65,1421,1194,0.317,0.402,0.451,130,393.4,54.9
0,7836,287,1121,1078,0.291,0.4,0.502,136,384.8,54.8
0,8268,282,1104,1141,0.287,0.349,0.462,116,151.5,54.8
0,7910,377,1046,1103,0.271,0.374,0.488,139,354.3,54.6
0,4224,186,910,1001,0.349,0.417,0.616,173,421.8,54.5
0,6648,191,803,771,0.248,0.349,0.397,104,12.2,54.5
0,3820,143,855,853,0.364,0.449,0.615,181,439.2,54.3
0,9822,182,1217,1053,0.279,0.311,0.412,105,87.7,53.7
0,8010,291,1105,964,0.25,0.366,0.436,130,274.5,52.8
0,6850,282,742,1018,0.262,0.337,0.452,110,23.6,52.1
0,9051,63,1355,810,0.269,0.34,0.37,110,108.4,52.1
0,7874,215,973,884,0.273,0.355,0.442,122,182.4,52.0
0,8283,284,1186,1205,0.303,0.384,0.497,136,347.7,52.0
0,6872,242,949,970,0.296,0.376,0.491,133,297.9,51.3
0,8931,165,1036,1077,0.284,0.354,0.42,119,206.1,50.8
0,7884,278,1064,968,0.249,0.338,0.444,107,120.2,50.6
0,8230,340,1118,1180,0.267,0.379,0.476,138,349.1,50.6
0,7035,26,918,566,0.292,0.373,0.384,122,152.8,50.5
0,8190,170,1064,1195,0.289,0.375,0.44,124,250.9,50.4
0,8133,199,1084,976,0.285,0.347,0.443,122,248.6,49.9
0,8908,440,1227,1441,0.277,0.399,0.516,140,431.3,49.8
