Name,HOF_status,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,wRC+,Off,Def,WAR
Bill Coughlin,not_HOF,1049,4232,15,481,380,159,0.252,0.299,0.319,86,-57.8,-7.5,8.2
Tom Jones,not_HOF,1058,4289,4,341,336,135,0.251,0.294,0.303,90,-44.6,-12.9,8.2
Pedro Feliz,not_HOF,1302,4544,140,487,598,13,0.25,0.288,0.41,78,-147.3,84.4,8.2
Cristian Guzman,not_HOF,1406,5785,62,727,467,125,0.271,0.307,0.383,78,-152.8,41.4,8.2
Dick Padden,not_HOF,874,3545,11,423,334,132,0.258,0.326,0.333,92,-40.7,-5.4,8.1
Buddy Hassett,not_HOF,929,3807,12,469,343,53,0.292,0.333,0.362,92,-31.6,-12.1,8.1
Avisail Garcia,not_HOF,1104,4298,140,496,524,51,0.263,0.316,0.417,98,-15.9,-48.9,8.1
Troy O'Leary,not_HOF,1198,4418,127,547,591,17,0.274,0.332,0.448,97,-30.2,-40.8,8.1
Darren Lewis,not_HOF,1354,4654,27,607,342,247,0.25,0.323,0.322,76,-140,59.3,8.1
Omar Moreno,not_HOF,1382,5481,37,699,386,487,0.252,0.306,0.343,78,-112,12.1,8.1
Joe Oliver,not_HOF,1076,3698,102,320,476,13,0.247,0.299,0.391,79,-97.4,53.9,8
Eddie Kasko,not_HOF,1077,3879,22,411,261,31,0.264,0.317,0.331,76,-115.7,68.2,8
Alberto Callaspo,not_HOF,1093,3956,52,391,369,22,0.265,0.329,0.364,91,-66.2,11.5,8
Kevin Young,not_HOF,1205,4352,144,536,606,83,0.258,0.324,0.438,95,-33.5,-29.2,8
Dick Schofield,not_HOF,1321,3545,21,394,211,12,0.227,0.317,0.297,78,-99.7,59,7.9
Frankie Gustine,not_HOF,1261,5037,38,553,480,60,0.265,0.322,0.359,86,-77.8,-8.5,7.9
Tommy Helms,not_HOF,1435,5333,34,414,477,33,0.269,0.3,0.342,78,-142.8,39.6,7.9
Don Kessinger,not_HOF,2078,8530,14,899,527,100,0.252,0.314,0.312,72,-281.9,75.1,7.9
Dick Egan,not_HOF,917,3547,4,374,292,167,0.249,0.315,0.3,83,-62.2,17.5,7.8
Freddy Leach,not_HOF,991,3996,72,543,509,32,0.307,0.341,0.446,98,-13.9,-43.2,7.8
Clint Barmes,not_HOF,1186,4167,89,434,415,43,0.245,0.294,0.379,71,-131.6,76.4,7.8
Joe Dugan,not_HOF,1447,5879,42,665,571,37,0.28,0.317,0.372,81,-154.3,22.6,7.8
Birdie Tebbetts,not_HOF,1162,4149,38,357,469,29,0.27,0.341,0.358,82,-103.6,33,7.7
Doc Lavan,not_HOF,1163,4265,7,338,377,71,0.245,0.288,0.308,73,-150.3,76.7,7.7
Jack O'Connor,not_HOF,1450,5780,19,713,738,219,0.263,0.307,0.336,80,-159.1,28.3,7.7
Logan Forsythe,not_HOF,971,3540,71,389,307,42,0.244,0.326,0.369,93,-27.5,-15.7,7.6
Jimmy Callahan,not_HOF,923,3610,11,442,394,186,0.273,0.311,0.352,94,-20.2,-34.8,7.6
Ryan Theriot,not_HOF,899,3615,17,446,257,121,0.281,0.341,0.35,86,-62.5,25.2,7.6
Al Zarilla,not_HOF,1120,4034,61,507,456,33,0.276,0.357,0.405,102,3.8,-64.1,7.6
Lenny Randle,not_HOF,1138,4427,27,488,322,156,0.257,0.321,0.335,87,-70.8,5.5,7.6
Julian Javier,not_HOF,1622,6179,78,722,506,135,0.257,0.296,0.355,78,-157,18,7.6
Luis Valbuena,not_HOF,1011,3571,114,377,367,11,0.226,0.31,0.394,93,-45.4,-0.8,7.5
Charlie Neal,not_HOF,970,3753,87,461,391,48,0.259,0.329,0.394,92,-40.1,-11.2,7.5
Al Martin,not_HOF,1232,4688,132,664,485,173,0.276,0.339,0.444,102,17.2,-93.1,7.5
Jack Manning,not_HOF,834,3694,14,563,361,30,0.263,0.3,0.345,106,34.2,-80.5,7.4
Gene Freese,not_HOF,1115,3784,115,429,432,51,0.254,0.305,0.418,93,-29,-19.7,7.4
Jonny Gomes,not_HOF,1203,4009,162,495,526,50,0.242,0.333,0.436,106,43.7,-103.5,7.4
Damaso Garcia,not_HOF,1032,4124,36,490,323,203,0.283,0.309,0.371,83,-74.1,12.1,7.4
Dick Siebert,not_HOF,1035,4251,32,439,482,30,0.282,0.332,0.379,93,-49.6,-27.6,7.4
Blondie Purcell,not_HOF,1097,4875,13,767,495,197,0.267,0.314,0.34,102,19.3,-115.3,7.4
Shawon Dunston,not_HOF,1814,6276,150,736,668,212,0.269,0.296,0.416,85,-104.9,-27.9,7.4
Kid Gleason,not_HOF,1966,8198,15,1020,823,328,0.261,0.311,0.317,80,-214.9,-11.8,7.4
Brad Miller,not_HOF,1055,3531,123,397,405,43,0.236,0.314,0.416,100,2.9,-50.2,7.3
Moose Solters,not_HOF,938,3675,83,503,599,42,0.289,0.334,0.449,94,-34.4,-25.5,7.3
Larry Brown,not_HOF,1129,3871,47,331,254,22,0.233,0.3,0.313,77,-99.8,59.5,7.3
Luis Salazar,not_HOF,1302,4375,94,438,455,117,0.261,0.293,0.381,86,-69.9,-4.3,7.3
Rip Radcliff,not_HOF,1081,4436,42,598,533,40,0.311,0.362,0.417,97,-27.9,-60.7,7.3
Johnny Rawlings,not_HOF,1080,4168,14,409,303,92,0.25,0.303,0.309,72,-136,68.5,7.2
Mitch Moreland,not_HOF,1260,4536,186,527,618,11,0.251,0.318,0.446,100,-12,-69.6,7.2
Eddie Grant,not_HOF,990,3758,5,399,277,153,0.249,0.3,0.295,79,-84,25,7.1
Sammy White,not_HOF,1043,3788,66,324,421,14,0.262,0.305,0.377,75,-114.7,62.8,7.1
James Loney,not_HOF,1443,5487,108,528,669,38,0.284,0.336,0.41,103,-5.6,-98.8,7.1
Kurt Suzuki,not_HOF,1635,6163,143,594,730,20,0.255,0.314,0.388,89,-98.4,-33.1,7.1
Howie Shanks,not_HOF,1665,6414,25,604,620,185,0.253,0.308,0.337,82,-140.1,-8.3,7.1
Jeff Reed,not_HOF,1234,3566,61,311,323,7,0.25,0.334,0.361,80,-90.1,44.6,7
Mark Lemke,not_HOF,1069,3664,32,349,270,11,0.246,0.317,0.324,71,-135.3,85.5,7
Gary Disarcina,not_HOF,1086,4032,28,444,355,47,0.258,0.292,0.341,65,-189.1,121.4,7
Travis Lee,not_HOF,1099,4233,115,476,488,59,0.256,0.337,0.408,94,-37.3,-32.6,7
Tom McCraw,not_HOF,1468,4396,75,484,404,143,0.246,0.309,0.362,94,-28.1,-29.3,7
Mel Hall,not_HOF,1276,4575,134,568,620,31,0.276,0.318,0.437,103,12.4,-95.7,7
Dal Maxvill,not_HOF,1423,3898,6,302,252,7,0.217,0.293,0.259,58,-190.2,128.2,6.9
Mark Trumbo,not_HOF,1097,4419,218,532,629,23,0.249,0.302,0.459,106,15.8,-96.9,6.9
Juan Encarnacion,not_HOF,1259,5095,156,618,667,127,0.27,0.317,0.441,96,-35.5,-66.3,6.8
Ben Grieve,not_HOF,976,3743,118,471,492,24,0.269,0.367,0.442,113,58.8,-116.6,6.7
Walt Dropo,not_HOF,1288,4521,152,478,704,5,0.27,0.326,0.432,98,-6,-76,6.7
Willie Montanez,not_HOF,1632,6407,139,645,802,32,0.275,0.327,0.402,99,-16.3,-131.7,6.7
Cookie Rojas,not_HOF,1822,6871,54,714,593,74,0.263,0.306,0.337,83,-139.9,-23.4,6.7
Mike Lum,not_HOF,1517,3999,90,404,431,13,0.247,0.319,0.37,88,-63.8,-0.8,6.6
Rick Manning,not_HOF,1555,5832,56,664,458,168,0.257,0.317,0.341,84,-106.4,-20,6.6
Burgess Whitehead,not_HOF,924,3562,17,415,245,51,0.266,0.304,0.331,71,-120.8,68.2,6.5
Lucas Duda,not_HOF,958,3581,156,387,470,6,0.239,0.334,0.448,116,52.4,-105.2,6.5
Jack Warner,not_HOF,1073,3824,6,348,303,83,0.249,0.303,0.297,78,-126,48.7,6.5
Marty Cordova,not_HOF,952,3835,122,480,540,57,0.274,0.344,0.448,103,8.3,-75.6,6.5
Juan Rivera,not_HOF,1058,3787,132,425,539,17,0.274,0.323,0.443,102,-24.1,-38.8,6.3
Russ Snyder,not_HOF,1365,4014,42,488,319,58,0.271,0.325,0.363,95,-24.4,-30,6.3
Billy Butler,not_HOF,1414,5686,147,592,728,5,0.29,0.354,0.441,114,16,-145.9,6.3
Bobby Richardson,not_HOF,1412,5783,34,643,390,73,0.266,0.299,0.335,78,-153.2,49.6,6.3
Ivy Olson,not_HOF,1574,6630,13,730,446,156,0.258,0.295,0.318,73,-212.8,43.2,6.3
Joe Quinn,not_HOF,1768,7334,29,891,794,268,0.261,0.302,0.327,78,-255,20.5,6.3
Lee Handley,not_HOF,968,3697,15,418,297,68,0.269,0.323,0.345,83,-65.6,10.3,6.2
Miguel Olivo,not_HOF,1124,3993,145,435,490,53,0.24,0.275,0.417,78,-117.5,48.1,6.2
Art Whitney,not_HOF,978,4001,6,475,349,67,0.223,0.285,0.269,76,-164.5,67.8,6.2
Mark Koenig,not_HOF,1162,4603,28,572,443,31,0.279,0.316,0.367,81,-129,22.1,6.2
Bill Tuttle,not_HOF,1270,4842,67,578,443,38,0.259,0.334,0.363,89,-74.2,-17.6,6.1
Tim Foli,not_HOF,1696,6573,25,576,501,81,0.251,0.283,0.309,62,-286.9,137.7,6.1
Mickey Owen,not_HOF,1209,4072,14,338,378,36,0.255,0.318,0.322,77,-112.4,42.7,6
Paul Sorrento,not_HOF,1093,3890,166,454,565,8,0.257,0.34,0.457,106,24.3,-96.9,5.9
Justin Smoak,not_HOF,1286,4750,196,505,570,3,0.229,0.322,0.419,103,-18.9,-83.5,5.9
Sandy Alomar Sr.,not_HOF,1481,5160,13,558,282,227,0.245,0.29,0.288,69,-161,63.2,5.9
Ed Kranepool,not_HOF,1853,5997,118,536,614,15,0.261,0.316,0.377,95,-39.9,-101.7,5.9
Marlon Anderson,not_HOF,1151,3508,63,392,371,71,0.265,0.314,0.391,82,-69.5,11.2,5.8
Harry Simpson,not_HOF,1012,3589,76,414,434,23,0.269,0.334,0.403,100,-1.5,-60.5,5.8
Lee Thomas,not_HOF,1027,3730,106,405,428,25,0.255,0.327,0.397,99,0.8,-52.6,5.8
Michael Barrett,not_HOF,1054,3873,98,398,424,11,0.263,0.32,0.422,87,-79.2,8.6,5.6
Joe Girardi,not_HOF,1277,4535,36,454,422,44,0.267,0.315,0.35,71,-174.8,76.3,5.6
Jeff Francoeur,not_HOF,1481,5661,160,626,698,54,0.261,0.303,0.416,88,-98.6,-27.1,5.6
Lou Criger,not_HOF,1012,3619,11,337,342,58,0.221,0.295,0.29,75,-116.1,49.1,5.5
Gordon Beckham,not_HOF,1069,3782,80,420,351,35,0.237,0.3,0.367,80,-90.3,17.2,5.5
Frank Baumholtz,not_HOF,1019,3807,25,450,272,30,0.29,0.342,0.389,93,-32.5,-38.2,5.5
Deivi Cruz,not_HOF,1234,4375,70,442,464,16,0.269,0.293,0.388,75,-159.2,64.7,5.4
Keith Moreland,not_HOF,1306,5082,121,511,674,28,0.279,0.335,0.411,102,2.1,-119.1,5.4
Jackie Hayes,not_HOF,1091,4471,20,494,493,34,0.265,0.318,0.344,71,-196.4,78.5,5.3
Derrel Thomas,not_HOF,1597,5268,43,585,370,140,0.249,0.317,0.332,85,-96.4,-24.9,5.3
Leo Durocher,not_HOF,1637,5827,24,575,567,31,0.247,0.299,0.32,66,-264.2,116.3,5.3
Brian L. Hunter,not_HOF,1000,3659,25,500,241,260,0.264,0.313,0.346,73,-104.1,31,5.2
Johnny Cooney,not_HOF,1172,3675,2,409,219,30,0.286,0.329,0.342,87,-61.7,-7.7,5.2
Bill Knickerbocker,not_HOF,907,3753,28,423,368,25,0.276,0.326,0.374,79,-128.5,42.7,5.2
George Metkovich,not_HOF,1055,3955,47,476,373,61,0.261,0.322,0.367,90,-50.4,-31.4,5.2
Brent Mayne,not_HOF,1279,4084,38,359,403,18,0.263,0.332,0.348,74,-143.8,62.4,5.2
Jimmy McAleer,not_HOF,1018,4414,12,619,469,262,0.253,0.322,0.311,78,-149.3,9.4,5.2
John Barry,not_HOF,1100,4465,10,516,391,140,0.267,0.321,0.33,94,-35.4,-71.1,5.2
Joe Orsulak,not_HOF,1494,4714,57,559,405,93,0.273,0.324,0.374,92,-52.1,-54.4,5.2
Orlando Arcia,not_HOF,1014,3537,90,345,347,43,0.239,0.292,0.369,75,-109.4,40.9,5.1
Miguel Cairo,not_HOF,1490,4392,41,504,394,139,0.264,0.314,0.361,77,-114.3,17.6,5.1
Jose Vizcaino,not_HOF,1820,5918,36,633,480,74,0.27,0.318,0.346,76,-192.9,47.7,5.1
Logan Morrison,not_HOF,997,3779,140,416,426,23,0.238,0.323,0.425,105,16.5,-88.7,5
John Buck,not_HOF,1090,4009,134,389,491,6,0.234,0.301,0.398,85,-87.2,4.8,5
Al Myers,not_HOF,833,3548,13,429,359,111,0.245,0.314,0.32,89,-75.6,-3.4,4.8
Jose Lopez,not_HOF,1036,4089,92,421,480,25,0.262,0.292,0.395,82,-112.7,20.9,4.8
Yonder Alonso,not_HOF,1072,3773,100,391,426,22,0.259,0.332,0.404,102,-10.5,-67.2,4.7
Eric McNair,not_HOF,1251,4869,82,592,633,59,0.274,0.318,0.392,80,-157,24.5,4.7
Marv Owen,not_HOF,1011,4224,31,473,497,30,0.275,0.339,0.367,82,-120.7,9.7,4.6
Babe Dahlgren,not_HOF,1137,4506,82,470,569,18,0.261,0.329,0.383,93,-49.9,-58.8,4.6
Ed Sprague Jr.,not_HOF,1203,4587,152,506,558,6,0.247,0.318,0.419,90,-65.5,-43.1,4.6
Geoff Blum,not_HOF,1389,4393,99,446,479,19,0.25,0.31,0.384,80,-119.5,21.5,4.4
Luis Polonia,not_HOF,1379,5296,36,728,405,321,0.293,0.342,0.383,98,-14.4,-120.8,4.3
Mike Tresh,not_HOF,1027,3637,2,326,297,19,0.249,0.335,0.283,77,-115.4,29.5,4.2
Alex Cora,not_HOF,1273,3825,35,360,286,47,0.243,0.31,0.338,72,-126.4,41.1,4.1
Barry McCormick,not_HOF,989,4029,15,433,417,130,0.238,0.297,0.303,75,-139.2,33.7,4.1
Bernie Friberg,not_HOF,1299,4795,38,544,471,51,0.281,0.356,0.373,87,-100.3,-24.1,4.1
Sam Mele,not_HOF,1046,3796,80,406,544,15,0.267,0.328,0.408,96,-22.3,-64.1,4
Billy Martin,not_HOF,1021,3717,64,425,333,34,0.257,0.3,0.369,80,-90.4,9.6,3.9
Tom Goodwin,not_HOF,1288,4315,24,636,284,369,0.268,0.332,0.339,74,-118,8.1,3.9
Rollie Hemsley,not_HOF,1593,5509,31,562,555,29,0.262,0.311,0.36,73,-210,51.4,3.9
Frank Bowerman,not_HOF,1045,3648,13,343,392,81,0.251,0.287,0.314,78,-108.1,14,3.8
Jack Rothrock,not_HOF,1014,3719,28,498,327,75,0.276,0.336,0.37,86,-74,-24,3.8
Cy Perkins,not_HOF,1171,4015,30,329,409,18,0.259,0.319,0.352,75,-144.9,39.8,3.8
Doc Johnston,not_HOF,1055,4270,14,478,381,139,0.263,0.319,0.351,88,-58.6,-52.7,3.8
Joey Cora,not_HOF,1119,4279,30,624,294,117,0.277,0.348,0.369,93,-41.9,-65.1,3.8
Bubba Phillips,not_HOF,1062,3564,62,348,356,25,0.255,0.297,0.358,77,-95.9,25.4,3.5
Jose Pagan,not_HOF,1326,4032,52,387,372,46,0.25,0.298,0.344,78,-106.4,2.3,3.5
Jim Spencer,not_HOF,1553,5408,146,541,599,11,0.25,0.307,0.387,94,-39.7,-93.3,3.5
Maikel Franco,not_HOF,923,3573,130,364,467,5,0.244,0.293,0.414,85,-79.5,-7.1,3.4
Billy Sullivan Sr.,not_HOF,1145,3981,21,363,378,98,0.213,0.254,0.281,66,-154.1,58.5,3.4
Mike Matheny,not_HOF,1305,4287,67,353,443,8,0.239,0.293,0.344,62,-227,115.7,3.4
Billy Hatcher,not_HOF,1233,4752,54,586,399,218,0.264,0.312,0.364,86,-68.3,-53.2,3.4
Jose Lind,not_HOF,1044,4001,9,368,324,62,0.254,0.295,0.316,68,-147,51.1,3.3
Billy Gardner,not_HOF,1034,3889,41,356,271,19,0.237,0.292,0.327,70,-145.5,60.8,3.2
Ken Reitz,not_HOF,1344,5079,68,366,548,10,0.26,0.29,0.359,76,-141,8.9,3.2
Wil Cordero,not_HOF,1247,4738,122,587,566,49,0.273,0.33,0.428,95,-32.1,-96.7,3.1
John Bateman,not_HOF,1017,3585,81,250,375,10,0.23,0.271,0.35,71,-117.8,23.5,3
Shea Hillenbrand,not_HOF,943,3816,108,463,490,16,0.284,0.321,0.44,94,-38.9,-60.6,3
John Flaherty,not_HOF,1047,3640,80,319,395,10,0.252,0.29,0.377,71,-149.4,56.7,2.9
Don Kolloway,not_HOF,1079,4244,29,466,393,76,0.271,0.305,0.353,77,-128.4,11,2.9
Jose Guillen,not_HOF,1650,6418,214,748,887,31,0.27,0.321,0.44,98,-52,-133.3,2.9
Jim Presley,not_HOF,959,3818,135,413,495,9,0.247,0.29,0.42,88,-56.2,-45.7,2.7
Pat Tabler,not_HOF,1202,4364,47,454,512,16,0.282,0.345,0.379,100,-5.6,-111.5,2.7
Cesar Izturis,not_HOF,1310,4679,17,441,312,110,0.254,0.293,0.322,61,-232.2,105.3,2.7
Mariano Duncan,not_HOF,1279,4998,87,619,491,174,0.267,0.3,0.388,86,-73.4,-70.5,2.7
Pat Meares,not_HOF,981,3560,58,401,382,43,0.258,0.299,0.374,70,-143.2,47.6,2.6
Mickey Hatcher,not_HOF,1130,3607,38,348,375,11,0.28,0.313,0.377,87,-56.6,-32.8,2.6
Farmer Vaughn,not_HOF,915,3643,21,474,525,92,0.274,0.307,0.365,79,-129.5,7.8,2.6
Dee Fondy,not_HOF,967,3759,69,437,373,84,0.286,0.324,0.413,92,-37.3,-52.1,2.6
Ty Wigginton,not_HOF,1362,4949,169,558,594,42,0.261,0.323,0.435,98,-36.6,-100.3,2.6
Bill Almon,not_HOF,1236,3659,36,390,296,128,0.254,0.305,0.343,82,-75.5,-20.3,2.5
Rod Barajas,not_HOF,1114,3784,136,396,480,2,0.235,0.284,0.407,76,-135.7,36.8,2.5
Jimmy Bloodworth,not_HOF,1002,3788,62,347,451,19,0.248,0.292,0.358,73,-138,28.4,2.5
Frank Taveras,not_HOF,1149,4399,2,503,214,300,0.255,0.301,0.313,73,-119,-4,2.4
Don Zimmer,not_HOF,1095,3593,91,353,352,45,0.235,0.29,0.372,76,-107.2,18.1,2.3
Bill Wambsganss,not_HOF,1491,6097,7,710,520,140,0.259,0.328,0.327,80,-166,-25.3,2.3
Mike Hershberger,not_HOF,1150,3983,26,398,344,74,0.252,0.316,0.328,86,-64.3,-24.1,2.2
Don Gutteridge,not_HOF,1151,4577,39,586,391,95,0.256,0.308,0.362,82,-99.1,-32.4,2.2
Rafael Ramirez,not_HOF,1539,5887,53,562,484,112,0.261,0.295,0.342,75,-176.5,3.9,2.2
Roger Metzger,not_HOF,1219,4676,5,453,254,83,0.231,0.291,0.293,68,-167,34.8,2.1
Cub Stricker,not_HOF,1196,5083,12,790,411,278,0.239,0.306,0.294,84,-120.8,-60.1,2.1
Luke Sewell,not_HOF,1630,6041,20,653,696,65,0.259,0.323,0.341,72,-259.2,46.6,2.1
Red Dooin,not_HOF,1290,4271,10,333,344,133,0.24,0.272,0.298,71,-134.9,10.1,2
Duane Kuiper,not_HOF,1057,3754,1,329,263,52,0.271,0.325,0.316,81,-96.3,-8.2,1.9
Jason Kubel,not_HOF,1036,3883,140,442,564,12,0.262,0.33,0.448,105,6.3,-117.6,1.8
Lenny Harris,not_HOF,1903,4289,37,460,369,131,0.269,0.318,0.349,81,-102.1,-22.3,1.8
Rabbit Warstler,not_HOF,1205,4611,11,431,332,42,0.229,0.3,0.287,62,-245.9,97.1,1.7
William Clarke,not_HOF,950,3664,20,394,429,54,0.256,0.31,0.326,78,-129.1,7.4,1.6
Phil Todt,not_HOF,957,3765,57,372,453,29,0.258,0.305,0.395,77,-126.4,-5.2,1.6
Tony Womack,not_HOF,1303,5389,36,739,368,363,0.273,0.317,0.356,73,-132.5,-26.2,1.6
Cory Snyder,not_HOF,1068,3933,149,439,488,28,0.247,0.291,0.425,93,-35,-81.5,1.5
Jack Burns,not_HOF,890,3976,44,541,417,63,0.279,0.35,0.391,87,-81.1,-51,1.5
Lee Stevens,not_HOF,1012,3724,144,440,531,9,0.254,0.323,0.448,94,-33.1,-75.1,1.4
Lou Finney,not_HOF,1270,5033,31,643,494,39,0.287,0.336,0.388,87,-114.3,-60.6,1.4
Jerry Royster,not_HOF,1428,4732,40,552,352,189,0.249,0.315,0.333,77,-126.3,-15.3,1.3
Walter Holke,not_HOF,1212,4833,24,464,487,81,0.287,0.318,0.363,88,-93.1,-70.5,1.3
Jack Boyle,not_HOF,1086,4637,23,668,569,125,0.253,0.315,0.327,77,-192.3,6.6,1.2
Bob Aspromonte,not_HOF,1324,4799,60,386,457,19,0.252,0.308,0.336,84,-91.5,-64,1.1
Skip Schumaker,not_HOF,1149,3582,28,416,284,26,0.278,0.337,0.364,93,-38.9,-61.2,1
John Mabry,not_HOF,1322,3765,96,382,446,7,0.263,0.322,0.405,88,-67.2,-47.2,1
Wally Gerber,not_HOF,1522,5816,7,558,476,43,0.257,0.323,0.313,68,-266.3,60.7,0.9
Jesus Alou,not_HOF,1380,4577,32,448,377,31,0.28,0.305,0.353,86,-79.6,-61.8,0.8
Don Mueller,not_HOF,1245,4594,65,499,520,11,0.296,0.322,0.39,88,-67.9,-66.6,0.8
Denny Doyle,not_HOF,944,3572,16,357,237,38,0.25,0.295,0.316,69,-134.8,26.7,0.7
Bob Kennedy,not_HOF,1482,5065,63,514,514,45,0.254,0.309,0.355,80,-142.2,-25.4,0.7
Gerald Perry,not_HOF,1193,3527,59,383,396,142,0.265,0.333,0.376,94,-26.6,-83.2,0.5
Dioner Navarro,not_HOF,1009,3551,77,322,367,14,0.25,0.309,0.37,83,-108.6,-5.4,0.5
Roger Cedeno,not_HOF,1100,3557,40,478,274,213,0.273,0.34,0.371,90,-25.4,-84.9,0.4
Oscar Stanage,not_HOF,1096,3845,8,248,321,30,0.234,0.284,0.295,68,-152.8,27,0
Heinie Sand,not_HOF,848,3529,18,457,251,21,0.258,0.343,0.344,76,-117.1,-13.4,-0.7
Charley O'Leary,not_HOF,955,3581,3,317,213,74,0.226,0.27,0.272,67,-132.1,8.4,-0.7
Bill Cissell,not_HOF,956,3998,29,516,423,113,0.267,0.308,0.36,72,-164.4,6.4,-0.7
Hal Lanier,not_HOF,1196,3940,8,297,273,11,0.228,0.255,0.275,49,-227.5,97.8,-0.8
Ralph Young,not_HOF,1022,4336,4,480,254,92,0.247,0.339,0.296,83,-100.8,-54.3,-0.8
Skeeter Newsome,not_HOF,1128,4087,9,381,292,67,0.245,0.293,0.304,62,-216.3,57.9,-1
Alfredo Griffin,not_HOF,1962,7331,24,759,527,191,0.249,0.285,0.319,65,-315.6,70.5,-1
Yuniesky Betancourt,not_HOF,1156,4278,80,437,457,30,0.261,0.285,0.388,77,-132,-20,-1.1
Pete Suder,not_HOF,1421,5473,49,469,541,19,0.249,0.29,0.337,67,-230.3,32.1,-1.3
Delmon Young,not_HOF,1118,4371,109,473,566,36,0.283,0.316,0.421,96,-38.1,-122.7,-1.4
Joe Demaestri,not_HOF,1121,3678,49,322,281,15,0.236,0.274,0.325,56,-196.4,64.1,-1.7
Malachi Kittridge,not_HOF,1215,4446,17,375,390,64,0.219,0.277,0.274,59,-270.2,75.9,-1.8
Oscar Melillo,not_HOF,1377,5536,22,590,548,69,0.26,0.306,0.34,63,-316.5,81.7,-1.9
Chris Gomez,not_HOF,1515,5148,60,517,487,35,0.262,0.325,0.36,83,-129.7,-61.6,-2.2
Ricky Gutierrez,not_HOF,1119,4126,38,471,357,50,0.266,0.338,0.35,86,-84.5,-80,-3.1
Tommy Dowd,not_HOF,1320,5956,24,903,501,366,0.271,0.319,0.345,81,-149.8,-118.4,-3.1
Neifi Perez,not_HOF,1403,5510,64,640,489,57,0.267,0.297,0.375,58,-305.3,88.2,-3.3
Frank O'Rourke,not_HOF,1131,4606,15,547,430,100,0.254,0.315,0.333,69,-211.7,-1.5,-3.8
Jerry Morales,not_HOF,1441,4984,95,516,570,37,0.259,0.313,0.382,89,-79.1,-122.9,-3.9
Chick Galloway,not_HOF,1076,3996,17,391,407,79,0.264,0.317,0.342,70,-184.6,-8.1,-4.7
Dan Meyer,not_HOF,1118,4032,86,411,459,61,0.253,0.293,0.379,82,-82.3,-100.3,-5.4
Tommy Thevenow,not_HOF,1229,4484,2,380,456,23,0.247,0.285,0.294,51,-305,85,-5.6
Johnnie LeMaster,not_HOF,1039,3515,22,320,229,94,0.222,0.277,0.289,58,-168.4,-11.5,-6.6
Doug Flynn,not_HOF,1309,4085,7,288,284,20,0.238,0.266,0.294,52,-228.7,16.7,-8.4
